category,subcategory,url
Candles & Aromatherapy,Diffusers,https://www.amazon.com/s?k=DIFFUSERS+LIQUID&crid=3DKFQ0AH5JQHO&sprefix=diffusers+liquid%2Caps%2C510&ref=nb_sb_noss_2
Candles & Aromatherapy,Candles,https://www.amazon.com/s?k=CANDLES+WAX&crid=36TAGM1NQEYIA&sprefix=candles+wax%2Caps%2C416&ref=nb_sb_noss_1
Candles & Aromatherapy,Candles,https://www.amazon.com/s?k=CANDLE+ACCESSORIES&crid=3WAHD37W3AOX&sprefix=candle+accessories%2Caps%2C493&ref=nb_sb_noss_1
Cleaning & Laundry,Cleaning,https://www.amazon.com/s?k=CLEANING+ACCESSORIES&crid=2T59F5GT02Z6D&sprefix=cleaning+accessories%2Caps%2C470&ref=nb_sb_noss_1
Cleaning & Laundry,Cleaning,https://www.amazon.com/s?k=TRASH+CANS+%26+BINS&crid=3DEXR967BC47D&sprefix=trash+cans+%26+bins%2Caps%2C384&ref=nb_sb_noss_2
Cleaning & Laundry,Laundry,https://www.amazon.com/s?k=LAUNDRY+BASKETS+%26+BAGS&crid=2CRSUNM7Y4ZP3&sprefix=laundry+baskets+%26+bags%2Caps%2C461&ref=nb_sb_noss_2
Cleaning & Laundry,Laundry,https://www.amazon.com/s?k=CLOTHES+AIRERS+%26+PEGS&crid=2KKEY3E0127QL&sprefix=clothes+airers+%26+pegs%2Caps%2C426&ref=nb_sb_noss
Cleaning & Laundry,Laundry,https://www.amazon.com/s?k=LAUNDRY+HAMPERS+%26+SORTERS&crid=OIOL22YGYYTO&sprefix=laundry+hampers+%26+sorters%2Caps%2C351&ref=nb_sb_noss_2
Cleaning & Laundry,Laundry,https://www.amazon.com/s?k=LAUNDRY+ACCESSORIES&crid=FNHQP1R1LTLK&sprefix=laundry+accessories%2Caps%2C384&ref=nb_sb_noss_1
Furniture,Indoor Furniture,https://www.amazon.com/s?k=SHOE+CABINET+%26+RACKS&crid=XN5SBDSG1HQY&sprefix=shoe+cabinet+%26+racks%2Caps%2C390&ref=nb_sb_noss_2
