Category,Sub Category,Product Segment,URL
Candles & Aromatherapy,Diffusers,Liquid,https://www.athome.com/search/?q=DIFFUSERS+LIQUID&lang=default&start=0&sz=24
Candles & Aromatherapy,Candles,Wax,https://www.athome.com/search/?q=CANDLES+WAX&lang=default&start=0&sz=24
Candles & Aromatherapy,Candles,Candle Accessories,https://www.athome.com/search/?q=CANDLE+ACCESSORIES&lang=default
Cleaning & Laundry,Cleaning,Cleaning Accessories,https://www.athome.com/search/?q=CLEANING+ACCESSORIES&lang=default
Cleaning & Laundry,Cleaning,Trash Cans & Bins,https://www.athome.com/search/?q=TRASH+CANS+%26+BINS&lang=default
Cleaning & Laundry,Laundry,Baskets & Bags,https://www.athome.com/search/?q=LAUNDRY+BASKETS+%26+BAGS&lang=default
Cleaning & Laundry,Laundry,Clothes Airers & Pegs,https://www.athome.com/search/?q=CLOTHES+AIRERS+%26+PEGS&lang=default
Cleaning & Laundry,Laundry,Hampers & Sorters,https://www.athome.com/search/?q=HAMPERS+%26+SORTERS&lang=default
Cleaning & Laundry,Laundry,Laundry Accessories,https://www.athome.com/search/?q=LAUNDRY+ACCESSORIES&lang=default
Furniture,Indoor Furniture,Shoe Cabinet & Racks,https://www.athome.com/search/?q=INDOOR+FURNITURE+SHOE+CABINET+%26+RACKS&lang=default
Furniture,Outdoor Furniture,Outdoor Storage,https://www.athome.com/search/?q=OUTDOOR+FURNITURE+OUTDOOR+STORAGE&lang=default
Kitchenware,Bakeware,Bakers & Casseroles,https://www.athome.com/search/?q=BAKEWARE+BAKERS+%26+CASSEROLES&lang=default
Kitchenware,Bakeware,"Baking Trays, Sheets & Racks",https://www.athome.com/search/?q=BAKING+TRAYS%2C+SHEETS+%26+RACKS&lang=default
Kitchenware,Bakeware,"Cake, Muffin & Cupcake Pans",https://www.athome.com/search/?q=CAKE%2C+MUFFIN+%26+CUPCAKE+PANS&lang=default
Kitchenware,Bakeware,"Specialty Bakeware (Pizza, Pie Dish, Bread & Loaf Etc)",https://www.athome.com/search/?q=SPECIALTY+BAKEWARE+%28pizza%2C+pie+dish%2C+bread+%26+loaf+etc%29&lang=default
Kitchenware,Cookware,"Cookware Accessories (Trivets, Splatter Lids, Spoon Rests Etc)",https://www.athome.com/search/?q=COOKWARE+ACCESSORIES+%28trivets%2C+splatter+lids%2C+spoon+rests+etc%29&lang=default
Kitchenware,Cookware,"Fry Pans, Grills & Griddles",https://www.athome.com/search/?q=FRY+PANS%2C+GRILLS+%26+GRIDDLES&lang=default
Kitchenware,Cookware,Microwave Cookware,https://www.athome.com/search/?q=MICROWAVE+COOKWARE&lang=default
Kitchenware,Cookware,Roasting Pans,https://www.athome.com/search/?q=ROASTING+PANS&lang=default
Kitchenware,Cookware,Saucepans,https://www.athome.com/search/?q=SAUCEPANS&lang=default
Kitchenware,Cookware,Stock & Soup Pots,https://www.athome.com/search/?q=STOCK+%26+SOUP+POTS&lang=default
Kitchenware,Food Preparation,Cutting Boards,https://www.athome.com/search/?q=CUTTING+BOARDS&lang=default
Kitchenware,Food Preparation,"Knives, Blocks & Sharpeners",https://www.athome.com/search/?q=KNIVES%2C+BLOCKS+%26+SHARPENERS&lang=default
