Category,Sub Category,Product Segment,URL
Candles & Aromatherapy,Diffusers,Liquid,
Candles & Aromatherapy,Candles,Wax,
Candles & Aromatherapy,Candles,Candle Accessories,
Cleaning & Laundry,Cleaning,Cleaning Accessories,
Cleaning & Laundry,Cleaning,Trash Cans & Bins,
Cleaning & Laundry,Laundry,Baskets & Bags,
Cleaning & Laundry,Laundry,Clothes Airers & Pegs,
Cleaning & Laundry,Laundry,Hampers & Sorters,
Cleaning & Laundry,Laundry,Laundry Accessories,
Furniture,Indoor Furniture,Shoe Cabinet & Racks,
Furniture,Outdoor Furniture,Outdoor Storage,
Kitchenware,Bakeware,Bakers & Casseroles,
Kitchenware,Bakeware,"Baking Trays, Sheets & Racks",
Kitchenware,Bakeware,"Cake, Muffin & Cupcake Pans",
Kitchenware,Bakeware,"Specialty Bakeware (pizza, pie dish, bread & loaf etc)",
Kitchenware,Cookware,"Cookware Accessories (trivets, splatter lids, spoon rests etc)",
Kitchenware,Cookware,"Fry Pans, Grills & Griddles",
Kitchenware,Cookware,Microwave Cookware,
Kitchenware,Cookware,Roasting Pans,
Kitchenware,Cookware,Saucepans,
Kitchenware,Cookware,Stock & Soup Pots,
Kitchenware,Food Preparation,Cutting Boards,
Kitchenware,Food Preparation,"Knives, Blocks & Sharpeners",
Kitchenware,Food Preparation,Measuring Jugs & Cups,
Kitchenware,Food Preparation,Mixing Bowls,
Kitchenware,Food Storage,Meal Prep Containers,
Kitchenware,Food Storage,"On the Go Food Storage (lunch boxes, reusable bags etc)",
Kitchenware,Food Storage,Refrigerator Food Storage,
Kitchenware,Food Storage,"Specialty Food Storage (canning, spice, oil bottles etc)",
Kitchenware,Food Storage,Storage Canisters,
Kitchenware,Food Storage,Storage Containers,
Kitchenware,Glassware & Drinkware,Coffee Mugs & Tea Cups,
Kitchenware,Glassware & Drinkware,Drinking Glasses,
Kitchenware,Glassware & Drinkware,Drinkware Accessories,
Kitchenware,Glassware & Drinkware,Specialty Glassware,
Kitchenware,Glassware & Drinkware,Tea & Coffee Makers,
